dataset,pipeline,severity,mean_roc_auc,std_roc_auc,dataset_mean_roc_auc,dataset_std_roc_auc,baseline_roc_auc_s020,avg_degradation_from_s020
bank-marketing,B,0.8,0.6725941574469321,0.03932410224418793,0.7245865289164648,0.07901516339492783,0.8228497099910841,0.15025555254415202
bank-marketing,B,1.0,0.6269553150734729,0.01265142985920926,0.7245865289164648,0.07901516339492783,0.8228497099910841,0.19589439491761118
blood-transfusion,A,0.2,0.754818469785575,0.00816567927277814,0.6877546296296296,0.05408975063779569,0.754818469785575,0.0
blood-transfusion,A,0.4,0.7075231481481482,0.010044187600914786,0.6877546296296296,0.05408975063779569,0.754818469785575,0.04729532163742678
blood-transfusion,A,0.6,0.6687987329434698,0.07889620751452006,0.6877546296296296,0.05408975063779569,0.754818469785575,0.08601973684210518
blood-transfusion,A,0.8,0.662104044834308,0.020410334175705817,0.6877546296296296,0.05408975063779569,0.754818469785575,0.09271442495126703
blood-transfusion,A,1.0,0.6455287524366471,0.015297678600143517,0.6877546296296296,0.05408975063779569,0.754818469785575,0.1092897173489279
blood-transfusion,B,0.2,0.7411306042884991,0.014959469928330372,0.6957711988304094,0.05537520455582014,0.7411306042884991,0.0
blood-transfusion,B,0.4,0.7155519005847953,0.048327198530621666,0.6957711988304094,0.05537520455582014,0.7411306042884991,0.025578703703703742
blood-transfusion,B,0.6,0.7145102339181286,0.038873557193492586,0.6957711988304094,0.05537520455582014,0.7411306042884991,0.02662037037037046
blood-transfusion,B,0.8,0.6833028752436647,0.038403171621783985,0.6957711988304094,0.05537520455582014,0.7411306042884991,0.05782772904483435
blood-transfusion,B,1.0,0.624360380116959,0.042894136910841665,0.6957711988304094,0.05537520455582014,0.7411306042884991,0.11677022417154004
churn,A,0.2,0.926265078146286,0.004986376585832411,0.8531700641517845,0.06738954985166135,0.926265078146286,0.0
churn,A,0.4,0.8915575797356319,0.012900508592813062,0.8531700641517845,0.06738954985166135,0.926265078146286,0.034707498410654125
churn,A,0.6,0.8770036080218627,0.025727975670764538,0.8531700641517845,0.06738954985166135,0.926265078146286,0.04926147012442328
churn,A,0.8,0.8264448600137054,0.030459128113589484,0.8531700641517845,0.06738954985166135,0.926265078146286,0.09982021813258057
churn,A,1.0,0.7445791948414369,0.03147713465382606,0.8531700641517845,0.06738954985166135,0.926265078146286,0.18168588330484914
churn,B,0.2,0.8162758320329594,0.006645495099606653,0.7673971466078815,0.043045201629053315,0.8162758320329594,0.0
churn,B,0.4,0.800981782379313,0.013510783224223648,0.7673971466078815,0.043045201629053315,0.8162758320329594,0.015294049653646447
churn,B,0.6,0.7712821687761623,0.019100297592997955,0.7673971466078815,0.043045201629053315,0.8162758320329594,0.0449936632567971
churn,B,0.8,0.7446730075380411,0.014310491616410051,0.7673971466078815,0.043045201629053315,0.8162758320329594,0.07160282449491828
churn,B,1.0,0.7037729423129319,0.01881473087528918,0.7673971466078815,0.043045201629053315,0.8162758320329594,0.11250288972002753
credit-approval,A,0.2,0.8842133276559506,0.019755507625406486,0.8234958484138812,0.05488234690002545,0.8842133276559506,0.0
credit-approval,A,0.4,0.8627687885884606,0.039759637769119414,0.8234958484138812,0.05488234690002545,0.8842133276559506,0.02144453906749
credit-approval,A,0.6,0.8067330210772834,0.04049452662878539,0.8234958484138812,0.05488234690002545,0.8842133276559506,0.07748030657866722
credit-approval,A,0.8,0.8049020651479667,0.022841393945047504,0.8234958484138812,0.05488234690002545,0.8842133276559506,0.07931126250798393
credit-approval,A,1.0,0.7588620395997445,0.030759663434151773,0.8234958484138812,0.05488234690002545,0.8842133276559506,0.1253512880562061
credit-approval,B,0.2,0.7876304023845007,0.11825124572210326,0.6708878007238662,0.1480056818559288,0.7876304023845007,0.0
credit-approval,B,0.4,0.7531722375984671,0.14035660254559923,0.6708878007238662,0.1480056818559288,0.7876304023845007,0.034458164786033585
credit-approval,B,0.6,0.7284862678305302,0.13673285271788496,0.6708878007238662,0.1480056818559288,0.7876304023845007,0.059144134553970495
credit-approval,B,0.8,0.5452256759633809,0.03411044117920355,0.6708878007238662,0.1480056818559288,0.7876304023845007,0.24240472642111976
credit-approval,B,1.0,0.5399244198424527,0.010958360602928683,0.6708878007238662,0.1480056818559288,0.7876304023845007,0.247705982542048
credit-g,A,0.2,0.7507261904761905,0.010763210775779172,0.6814092261904762,0.06291217906216622,0.7507261904761905,0.0
credit-g,A,0.4,0.7114464285714286,0.05303839106806298,0.6814092261904762,0.06291217906216622,0.7507261904761905,0.0392797619047619
credit-g,A,0.6,0.708327380952381,0.010938036407153351,0.6814092261904762,0.06291217906216622,0.7507261904761905,0.04239880952380948
credit-g,A,0.8,0.6306830357142857,0.03030303836757133,0.6814092261904762,0.06291217906216622,0.7507261904761905,0.12004315476190475
credit-g,A,1.0,0.6058630952380952,0.03375742720937179,0.6814092261904762,0.06291217906216622,0.7507261904761905,0.14486309523809526
credit-g,B,0.2,0.6645238095238095,0.013245996447417354,0.6138535714285714,0.047553245259975785,0.6645238095238095,0.0
credit-g,B,0.4,0.6135267857142856,0.03072264568411794,0.6138535714285714,0.047553245259975785,0.6645238095238095,0.05099702380952387
credit-g,B,0.6,0.6445654761904762,0.01956929374528886,0.6138535714285714,0.047553245259975785,0.6645238095238095,0.0199583333333333
credit-g,B,0.8,0.5866458333333333,0.03856225006769882,0.6138535714285714,0.047553245259975785,0.6645238095238095,0.0778779761904762
credit-g,B,1.0,0.5600059523809524,0.03485922856757633,0.6138535714285714,0.047553245259975785,0.6645238095238095,0.1045178571428571
diabetes,A,0.2,0.8185833333333333,0.004080662461796469,0.7598870370370371,0.06461220303170968,0.8185833333333333,0.0
diabetes,A,0.4,0.8076666666666666,0.00728867328026759,0.7598870370370371,0.06461220303170968,0.8185833333333333,0.010916666666666686
diabetes,A,0.6,0.7903611111111111,0.007845424406137154,0.7598870370370371,0.06461220303170968,0.8185833333333333,0.02822222222222226
diabetes,A,0.8,0.7367962962962963,0.021254622919795574,0.7598870370370371,0.06461220303170968,0.8185833333333333,0.08178703703703705
diabetes,A,1.0,0.6460277777777778,0.006933809520501996,0.7598870370370371,0.06461220303170968,0.8185833333333333,0.17255555555555557
diabetes,B,0.2,0.7952916666666667,0.006498605448841482,0.7776407407407407,0.028502042755911325,0.7952916666666667,0.0
diabetes,B,0.4,0.7906898148148148,0.0059437036723400455,0.7776407407407407,0.028502042755911325,0.7952916666666667,0.0046018518518519125
diabetes,B,0.6,0.785611111111111,0.012470936279890567,0.7776407407407407,0.028502042755911325,0.7952916666666667,0.009680555555555692
diabetes,B,0.8,0.7811250000000001,0.012373761093381206,0.7776407407407407,0.028502042755911325,0.7952916666666667,0.01416666666666666
diabetes,B,1.0,0.7354861111111111,0.03694029834142157,0.7776407407407407,0.028502042755911325,0.7952916666666667,0.05980555555555567
ilpd,A,0.2,0.6540928419560595,0.015933017796712818,0.6228986534372786,0.031670674190383406,0.6540928419560595,0.0
ilpd,A,0.4,0.6225106307583275,0.016639669623275788,0.6228986534372786,0.031670674190383406,0.6540928419560595,0.03158221119773208
ilpd,A,0.6,0.6243621545003544,0.017820298870467058,0.6228986534372786,0.031670674190383406,0.6540928419560595,0.029730687455705174
ilpd,A,0.8,0.6394844082211197,0.011785215926301293,0.6228986534372786,0.031670674190383406,0.6540928419560595,0.014608433734939807
ilpd,A,1.0,0.5740432317505315,0.020006633955498794,0.6228986534372786,0.031670674190383406,0.6540928419560595,0.08004961020552803
ilpd,B,0.2,0.6737863217576188,0.020180800869295915,0.648917434443657,0.03791209408486844,0.6737863217576188,0.0
ilpd,B,0.4,0.6447289156626506,0.04345274453669694,0.648917434443657,0.03791209408486844,0.6737863217576188,0.029057406094968208
ilpd,B,0.6,0.6622962437987243,0.02990436560167184,0.648917434443657,0.03791209408486844,0.6737863217576188,0.011490077958894451
ilpd,B,0.8,0.639714741318214,0.03443487892449266,0.648917434443657,0.03791209408486844,0.6737863217576188,0.034071580439404725
ilpd,B,1.0,0.6240609496810772,0.03744558142277608,0.648917434443657,0.03791209408486844,0.6737863217576188,0.049725372076541596
jungle_chess,A,0.2,0.9147343179710612,0.005250099428020363,0.8111519973885799,0.07937133004031877,0.9147343179710612,0.0
jungle_chess,A,0.4,0.8733865934074796,0.010447762493210964,0.8111519973885799,0.07937133004031877,0.9147343179710612,0.0413477245635816
jungle_chess,A,0.6,0.814235216480208,0.0025993164426840313,0.8111519973885799,0.07937133004031877,0.9147343179710612,0.10049910149085317
jungle_chess,A,0.8,0.7604890866038271,0.006579061996483069,0.8111519973885799,0.07937133004031877,0.9147343179710612,0.15424523136723411
jungle_chess,A,1.0,0.692914772480324,0.0008676321136728652,0.8111519973885799,0.07937133004031877,0.9147343179710612,0.22181954549073724
jungle_chess,B,0.2,0.968175737172432,0.002813881051877828,0.890527770427528,0.06651560642633311,0.968175737172432,0.0
jungle_chess,B,0.4,0.941358597999327,0.0036132110550956506,0.890527770427528,0.06651560642633311,0.968175737172432,0.02681713917310502
jungle_chess,B,0.6,0.9106238990858507,0.0045739426440289865,0.890527770427528,0.06651560642633311,0.968175737172432,0.057551838086581264
jungle_chess,B,0.8,0.8466122832429702,0.006913428381451265,0.890527770427528,0.06651560642633311,0.968175737172432,0.12156345392946177
jungle_chess,B,1.0,0.7858683346370597,0.005020189854289787,0.890527770427528,0.06651560642633311,0.968175737172432,0.18230740253537225
kc1,A,0.2,0.8123847231200173,0.014825959934115956,0.7508499245852187,0.06007276164835017,0.8123847231200173,0.0
kc1,A,0.4,0.8092663219133808,0.007303264636039848,0.7508499245852187,0.06007276164835017,0.8123847231200173,0.003118401206636534
kc1,A,0.6,0.7562809739280327,0.03420427537108049,0.7508499245852187,0.06007276164835017,0.8123847231200173,0.056103749191984575
kc1,A,0.8,0.6942199956905839,0.023169326839368003,0.7508499245852187,0.06007276164835017,0.8123847231200173,0.1181647274294334
kc1,A,1.0,0.6820976082740788,0.02971199351458342,0.7508499245852187,0.06007276164835017,0.8123847231200173,0.13028711484593847
kc1,B,0.2,0.7250328592975652,0.039703711918229495,0.6439602456367163,0.08213698280474302,0.7250328592975652,0.0
kc1,B,0.4,0.6697069597069597,0.04297059500629716,0.6439602456367163,0.08213698280474302,0.7250328592975652,0.05532589959060552
kc1,B,0.6,0.6989614307261366,0.0381242899516015,0.6439602456367163,0.08213698280474302,0.7250328592975652,0.026071428571428634
kc1,B,0.8,0.5932245205774618,0.023449467542780225,0.6439602456367163,0.08213698280474302,0.7250328592975652,0.13180833872010345
kc1,B,1.0,0.5328754578754579,0.05637312078235885,0.6439602456367163,0.08213698280474302,0.7250328592975652,0.19215740142210735
pc1,A,0.2,0.807085346215781,0.01721315116101039,0.7560322061191626,0.0732869459458382,0.807085346215781,0.0
pc1,A,0.4,0.8004669887278583,0.017610736853856394,0.7560322061191626,0.0732869459458382,0.807085346215781,0.006618357487922721
pc1,A,0.6,0.8173268921095008,0.03914058262524585,0.7560322061191626,0.0732869459458382,0.807085346215781,-0.010241545893719839
pc1,A,0.8,0.7004186795491143,0.0372537458739172,0.7560322061191626,0.0732869459458382,0.807085346215781,0.10666666666666669
pc1,A,1.0,0.6548631239935587,0.04071851810444713,0.7560322061191626,0.0732869459458382,0.807085346215781,0.15222222222222226
pc1,B,0.2,0.7537198067632851,0.07003977826160082,0.6787648953301126,0.09212290863826632,0.7537198067632851,0.0
pc1,B,0.4,0.7435748792270531,0.021968086867048618,0.6787648953301126,0.09212290863826632,0.7537198067632851,0.010144927536231974
pc1,B,0.6,0.7020692431561997,0.07554336710097151,0.6787648953301126,0.09212290863826632,0.7537198067632851,0.05165056360708542
pc1,B,0.8,0.5548792270531401,0.05657977046274034,0.6787648953301126,0.09212290863826632,0.7537198067632851,0.19884057971014502
pc1,B,1.0,0.6395813204508857,0.03262022063313145,0.6787648953301126,0.09212290863826632,0.7537198067632851,0.11413848631239942
phoneme,A,0.2,0.9237827121905295,0.0035801381963467696,0.8217573847589477,0.08439351076975954,0.9237827121905295,0.0
phoneme,A,0.4,0.8957963957751829,0.009342099401444023,0.8217573847589477,0.08439351076975954,0.9237827121905295,0.027986316415346657
phoneme,A,0.6,0.8236518737509704,0.002984384811402564,0.8217573847589477,0.08439351076975954,0.9237827121905295,0.10013083843955917
phoneme,A,0.8,0.7673756028374651,0.010292393800868375,0.8217573847589477,0.08439351076975954,0.9237827121905295,0.15640710935306446
phoneme,A,1.0,0.6981803392405899,0.03359657783478353,0.8217573847589477,0.08439351076975954,0.9237827121905295,0.22560237294993968
phoneme,B,0.2,0.9393048994995624,0.0018297881437160633,0.841197963978397,0.08249163575071031,0.9393048994995624,0.0
phoneme,B,0.4,0.9026730783523543,0.003840863852124556,0.841197963978397,0.08249163575071031,0.9393048994995624,0.03663182114720809
phoneme,B,0.6,0.8645186280905742,0.015150849289680164,0.841197963978397,0.08249163575071031,0.9393048994995624,0.07478627140898819
phoneme,B,0.8,0.7857307133301402,0.014443058874897028,0.841197963978397,0.08249163575071031,0.9393048994995624,0.1535741861694222
phoneme,B,1.0,0.7137625006193535,0.012193177561795322,0.841197963978397,0.08249163575071031,0.9393048994995624,0.22554239888020888
